document,degradation,level,pipeline,cer,wer,taux_mots_detectes,taux_mots_manquants
660978.png,flou_gaussien,moyen,deskew_seul,0.9643435980551054,1.0,0.0,1.0
660978.png,flou_gaussien,moyen,denoise_seul,0.9497568881685575,1.0,0.0,1.0
660978.png,flou_gaussien,moyen,contraste_seul,0.9286871961102107,0.9905660377358491,0.011235955056179775,0.9887640449438202
660978.png,flou_gaussien,moyen,binarisation_seule,0.7876823338735819,0.9905660377358491,0.011235955056179775,0.9887640449438202
660978.png,flou_gaussien,moyen,pipeline_complet,1.0,1.0,0.0,1.0
0060000813.png,flou_gaussien,moyen,aucun,1.0,1.0,0.0,1.0
0060000813.png,flou_gaussien,moyen,deskew_seul,1.0,1.0,0.0,1.0
0060000813.png,flou_gaussien,moyen,denoise_seul,0.9745042492917847,0.9904761904761905,0.015625,0.984375
0060000813.png,flou_gaussien,moyen,contraste_seul,1.0,1.0,0.0,1.0
0060000813.png,flou_gaussien,moyen,binarisation_seule,0.7903682719546742,1.0,0.015625,0.984375
0060000813.png,flou_gaussien,moyen,pipeline_complet,1.0,1.0,0.0,1.0
0060255888.png,flou_gaussien,moyen,aucun,1.0,1.0,0.0,1.0
0060255888.png,flou_gaussien,moyen,deskew_seul,1.0,1.0,0.0,1.0
0060255888.png,flou_gaussien,moyen,denoise_seul,1.0,1.0,0.0,1.0
0060255888.png,flou_gaussien,moyen,contraste_seul,1.0,1.0,0.0,1.0
0060255888.png,flou_gaussien,moyen,binarisation_seule,0.8323281061519904,0.9925373134328358,0.009615384615384616,0.9903846153846154
0060255888.png,flou_gaussien,moyen,pipeline_complet,0.8709288299155609,1.0,0.0,1.0
13149651.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
13149651.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
13149651.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
13149651.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
13149651.png,flou_gaussien,fort,binarisation_seule,0.9970014992503748,0.9969230769230769,0.004807692307692308,0.9951923076923077
13149651.png,flou_gaussien,fort,pipeline_complet,0.9975012493753124,1.0,0.0,1.0
0011973451.png,flou_gaussien,fort,aucun,0.9839704069050554,1.0,0.0,1.0
0011973451.png,flou_gaussien,fort,deskew_seul,0.9876695437731196,1.0,0.0,1.0
0011973451.png,flou_gaussien,fort,denoise_seul,0.9802712700369913,1.0,0.0,1.0
0011973451.png,flou_gaussien,fort,contraste_seul,0.9876695437731196,1.0,0.0,1.0
0011973451.png,flou_gaussien,fort,binarisation_seule,0.87422934648582,0.9919354838709677,0.009345794392523364,0.9906542056074766
0011973451.png,flou_gaussien,fort,pipeline_complet,0.872996300863132,0.9919354838709677,0.009345794392523364,0.9906542056074766
0011859695.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
0011859695.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
0011859695.png,flou_gaussien,fort,denoise_seul,0.9987608426270136,1.0,0.0,1.0
0011859695.png,flou_gaussien,fort,contraste_seul,0.9863692688971499,1.0,0.0,1.0
0011859695.png,flou_gaussien,fort,binarisation_seule,1.0,1.0,0.0,1.0
0011859695.png,flou_gaussien,fort,pipeline_complet,0.9876084262701363,1.0,0.0,1.0
80310840a.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
80310840a.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
80310840a.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
80310840a.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
80310840a.png,flou_gaussien,fort,binarisation_seule,0.9789631855747558,0.9952380952380953,0.006060606060606061,0.9939393939393939
80310840a.png,flou_gaussien,fort,pipeline_complet,0.9609316303531179,0.9952380952380953,0.006060606060606061,0.9939393939393939
0011899960.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
0011899960.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
0011899960.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
0011899960.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
0011899960.png,flou_gaussien,fort,binarisation_seule,1.0,1.0,0.0,1.0
0011899960.png,flou_gaussien,fort,pipeline_complet,0.99625,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,aucun,0.9958762886597938,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,deskew_seul,0.9958762886597938,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,contraste_seul,0.9938144329896907,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,binarisation_seule,0.8989690721649485,1.0,0.0,1.0
71206427.png,flou_gaussien,fort,pipeline_complet,0.8845360824742268,0.9836065573770492,0.018518518518518517,0.9814814814814815
71108371.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
71108371.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
71108371.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
71108371.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
71108371.png,flou_gaussien,fort,binarisation_seule,0.954824316787507,0.9962406015037594,0.005319148936170213,0.9946808510638298
71108371.png,flou_gaussien,fort,pipeline_complet,1.0,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,denoise_seul,1.0,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,binarisation_seule,0.9875862068965517,1.0,0.0,1.0
00851772_1780.png,flou_gaussien,fort,pipeline_complet,0.9172413793103448,0.9908256880733946,0.010869565217391304,0.9891304347826086
0001463282.png,flou_gaussien,fort,aucun,0.9643134212567882,1.0,0.0,1.0
0001463282.png,flou_gaussien,fort,deskew_seul,0.9643134212567882,1.0,0.0,1.0
0001463282.png,flou_gaussien,fort,denoise_seul,0.9728471683475562,1.0,0.0,1.0
0001463282.png,flou_gaussien,fort,contraste_seul,0.9852598913886734,1.0,0.0,1.0
0001463282.png,flou_gaussien,fort,binarisation_seule,0.8929402637703646,0.9908256880733946,0.0189873417721519,0.9810126582278481
0001463282.png,flou_gaussien,fort,pipeline_complet,0.9860356865787432,0.9954128440366973,0.006329113924050633,0.9936708860759493
91104867.png,flou_gaussien,fort,aucun,1.0,1.0,0.0,1.0
91104867.png,flou_gaussien,fort,deskew_seul,1.0,1.0,0.0,1.0
91104867.png,flou_gaussien,fort,denoise_seul,0.9299145299145299,1.0,0.0,1.0
91104867.png,flou_gaussien,fort,contraste_seul,1.0,1.0,0.0,1.0
